Employee_ID,Age,Gender,Department,Education,Years_Experience,Salary,Satisfaction_Score,Remote_Worker
EMP-1000,50,Male,HR,Master,26,133100,6.5,No
EMP-1001,36,Female,Engineering,Master,14,106700,4.2,Yes
EMP-1002,29,Male,Engineering,Master,4,85300,7.5,Yes
EMP-1003,42,Male,HR,Bachelor,20,106800,7.1,Yes
EMP-1004,40,Female,HR,Bachelor,18,85500,6.1,No
EMP-1005,44,Male,Sales,Bachelor,21,105600,7.2,No
EMP-1006,32,Male,Sales,Bachelor,7,71900,6.0,Yes
EMP-1007,32,Male,Sales,Master,7,80800,8.9,No
EMP-1008,45,Male,Engineering,Bachelor,22,123100,8.9,Yes
EMP-1009,57,Male,Engineering,Bachelor,33,150000,3.8,Yes
EMP-1010,45,Female,Sales,PhD,23,139700,4.8,Yes
EMP-1011,24,Female,Marketing,Bachelor,0,44400,9.8,No
EMP-1012,43,Male,Marketing,Master,21,120500,8.1,Yes
EMP-1013,23,Male,Marketing,Master,1,60800,6.9,Yes
EMP-1014,45,Male,Engineering,Bachelor,21,120200,4.9,Yes
EMP-1015,51,Male,Sales,Master,29,141600,4.5,Yes
EMP-1016,59,Male,Engineering,PhD,36,183800,2.1,Yes
EMP-1017,23,Male,Sales,PhD,0,73300,6.3,No
EMP-1018,42,Male,Sales,Bachelor,17,99200,4.3,No
EMP-1019,54,Male,Marketing,PhD,28,146700,3.4,Yes
EMP-1020,33,Male,Engineering,Bachelor,11,92000,6.6,Yes
EMP-1021,43,Male,Engineering,Bachelor,21,127100,6.1,No
EMP-1022,46,Male,Engineering,Bachelor,22,125100,7.7,Yes
EMP-1023,48,Female,Marketing,PhD,25,138700,3.7,Yes
EMP-1024,49,Female,Sales,Bachelor,23,119200,6.6,No
EMP-1025,37,Female,Engineering,Bachelor,12,92000,6.0,Yes
EMP-1026,36,Male,Engineering,Master,13,100200,6.3,Yes
EMP-1027,24,Female,Marketing,Bachelor,0,41000,8.6,No
EMP-1028,58,Female,Engineering,Bachelor,34,147700,2.5,Yes
EMP-1029,28,Male,Marketing,Bachelor,4,54800,7.8,Yes
EMP-1030,42,Female,Marketing,Bachelor,20,101100,6.0,No
EMP-1031,30,Male,Engineering,Bachelor,4,77900,7.7,Yes
EMP-1032,39,Female,Engineering,Bachelor,14,100500,6.5,Yes
EMP-1033,25,Female,HR,Master,2,61700,10.0,Yes
EMP-1034,46,Male,Engineering,Bachelor,22,124900,4.4,Yes
EMP-1035,35,Female,Engineering,Bachelor,13,87600,5.7,Yes
EMP-1036,30,Female,Marketing,PhD,8,93300,6.1,Yes
EMP-1037,47,Male,HR,Bachelor,22,109700,4.5,No
EMP-1038,23,Male,HR,Master,0,51100,6.7,Yes
EMP-1039,41,Female,Marketing,Bachelor,15,91600,7.7,Yes
EMP-1040,49,Male,Engineering,Bachelor,25,131400,7.2,Yes
EMP-1041,28,Female,Engineering,Bachelor,3,66700,6.3,Yes
EMP-1042,29,Female,Marketing,Bachelor,4,58700,5.9,No
EMP-1043,56,Male,Sales,Bachelor,32,148700,5.1,No
EMP-1044,35,Male,Sales,Bachelor,10,78700,5.7,No
EMP-1045,38,Male,HR,Bachelor,14,85200,7.1,No
EMP-1046,57,Male,Engineering,Bachelor,34,153400,4.6,Yes
EMP-1047,25,Male,Sales,Bachelor,1,49400,5.2,Yes
EMP-1048,23,Male,Engineering,Bachelor,0,63300,10.0,Yes
EMP-1049,27,Female,Sales,Bachelor,2,52200,10.0,No
EMP-1050,25,Male,Engineering,Master,0,72300,6.6,Yes
EMP-1051,50,Female,Engineering,Master,28,148500,4.4,No
EMP-1052,39,Female,Engineering,Bachelor,17,109500,6.5,Yes
EMP-1053,47,Female,Sales,Master,24,130500,5.8,No
EMP-1054,55,Female,Marketing,Master,33,153600,5.5,No
EMP-1055,31,Male,Sales,Bachelor,7,67600,9.9,No
EMP-1056,57,Male,HR,PhD,32,158500,4.0,No
EMP-1057,35,Male,Engineering,PhD,13,117500,5.3,No
EMP-1058,52,Female,Engineering,Bachelor,30,142200,2.7,Yes
EMP-1059,36,Female,Marketing,Bachelor,13,82900,5.3,No
EMP-1060,29,Female,Engineering,Master,6,91800,7.1,Yes
EMP-1061,35,Female,HR,Master,11,84100,9.2,No
EMP-1062,44,Male,Engineering,Bachelor,19,116700,4.8,Yes
EMP-1063,42,Male,HR,Bachelor,19,103600,6.1,No
EMP-1064,37,Male,Engineering,Bachelor,15,103700,6.3,Yes
EMP-1065,39,Female,Marketing,Bachelor,14,91700,7.9,No
EMP-1066,45,Male,Sales,Master,20,114900,9.3,No
EMP-1067,47,Male,HR,Bachelor,25,110000,4.5,No
EMP-1068,46,Male,Engineering,Bachelor,23,117300,4.7,Yes
EMP-1069,50,Male,Sales,Master,28,146400,6.6,Yes
EMP-1070,36,Female,HR,Bachelor,11,78400,7.4,No
EMP-1071,22,Female,Sales,Bachelor,0,49800,10.0,Yes
EMP-1072,46,Female,Sales,Master,20,119100,6.3,No
EMP-1073,28,Male,Sales,PhD,4,81700,6.7,Yes
EMP-1074,30,Female,Sales,Master,8,94200,7.9,No
EMP-1075,45,Female,Sales,Master,23,126900,7.2,No
EMP-1076,22,Female,Sales,Bachelor,0,50400,9.0,Yes
EMP-1077,29,Female,HR,Bachelor,5,61900,7.9,No
EMP-1078,45,Male,Engineering,Master,21,132700,7.1,Yes
EMP-1079,32,Male,Engineering,Bachelor,7,80500,8.6,Yes
EMP-1080,38,Female,HR,Bachelor,16,86600,8.3,No
EMP-1081,29,Female,Marketing,Bachelor,4,58100,8.1,No
EMP-1082,56,Male,Sales,Bachelor,32,147100,4.1,Yes
EMP-1083,56,Female,Sales,Bachelor,34,150600,4.6,No
EMP-1084,54,Female,Engineering,Bachelor,29,147600,6.4,No
EMP-1085,26,Female,Engineering,Bachelor,1,60800,6.2,Yes
EMP-1086,49,Female,Sales,Bachelor,25,116000,5.7,Yes
EMP-1087,28,Male,Engineering,PhD,6,101300,6.6,Yes
EMP-1088,30,Male,Sales,Master,6,79000,7.0,Yes
EMP-1089,29,Female,Engineering,Master,7,96000,9.0,Yes
EMP-1090,33,Female,HR,Master,7,69800,7.0,No
EMP-1091,55,Male,HR,Bachelor,32,140700,4.6,No
EMP-1092,54,Male,Sales,Bachelor,31,136200,2.6,No
EMP-1093,44,Male,Sales,Master,21,119100,6.7,No
EMP-1094,45,Male,Engineering,Master,21,126800,6.5,Yes
EMP-1095,58,Female,Marketing,Master,32,140000,7.4,Yes
EMP-1096,56,Female,Sales,Bachelor,34,148500,3.9,No
EMP-1097,43,Male,Engineering,Bachelor,18,110700,6.0,Yes
EMP-1098,48,Female,HR,Bachelor,26,112600,5.6,No
EMP-1099,56,Male,Marketing,Bachelor,31,126600,6.8,Yes
EMP-1100,22,Male,HR,Master,0,55700,7.7,No
EMP-1101,56,Male,Marketing,Master,30,147700,4.8,No
EMP-1102,58,Female,Sales,Bachelor,33,141400,5.1,No
EMP-1103,35,Male,Sales,PhD,11,99800,6.8,No
EMP-1104,24,Female,HR,Master,2,61600,6.9,No
EMP-1105,22,Male,Marketing,Bachelor,0,43900,8.1,No
EMP-1106,26,Male,Engineering,Bachelor,1,52000,9.0,No
EMP-1107,47,Female,Engineering,Bachelor,23,124200,3.8,Yes
EMP-1108,35,Male,Engineering,Bachelor,11,89900,6.7,Yes
EMP-1109,48,Male,Marketing,Bachelor,22,109400,4.1,No
EMP-1110,30,Female,HR,Bachelor,6,69200,8.8,No
EMP-1111,36,Female,Engineering,Bachelor,12,98100,4.1,Yes
EMP-1112,36,Female,Sales,Bachelor,12,82500,5.6,No
EMP-1113,47,Female,Engineering,PhD,24,147800,5.9,Yes
EMP-1114,34,Female,HR,Bachelor,8,77700,8.9,No
EMP-1115,53,Male,Marketing,Master,31,144000,4.6,Yes
EMP-1116,53,Female,Marketing,Bachelor,28,123500,3.9,No
EMP-1117,25,Female,Sales,PhD,3,83300,10.0,No
EMP-1118,51,Male,Sales,Bachelor,25,120800,2.7,Yes
EMP-1119,58,Female,Engineering,Bachelor,33,151800,1.0,Yes
EMP-1120,44,Male,Engineering,PhD,18,133100,6.3,No
EMP-1121,36,Female,Marketing,PhD,12,101400,5.6,Yes
EMP-1122,50,Female,Marketing,Master,25,126900,3.5,No
EMP-1123,57,Male,HR,Bachelor,33,135200,5.4,No
EMP-1124,34,Male,HR,Bachelor,12,75700,7.0,No
EMP-1125,53,Male,Sales,Master,31,149200,3.9,No
EMP-1126,28,Male,Marketing,PhD,3,77400,5.3,Yes
EMP-1127,43,Male,HR,Master,18,113400,7.0,No
EMP-1128,49,Female,Marketing,Master,23,110800,6.1,Yes
EMP-1129,23,Female,Engineering,Bachelor,0,64400,7.6,Yes
EMP-1130,27,Male,Sales,Master,3,75400,10.0,Yes
EMP-1131,49,Male,Engineering,Bachelor,24,118900,3.5,Yes
EMP-1132,49,Male,HR,Bachelor,27,119200,2.8,No
EMP-1133,41,Female,Sales,Bachelor,15,90500,4.9,Yes
EMP-1134,51,Female,Engineering,Master,25,136400,4.8,Yes
EMP-1135,32,Male,Sales,Bachelor,10,74900,7.2,No
EMP-1136,49,Female,Sales,Bachelor,23,110000,4.7,No
EMP-1137,46,Male,Engineering,Master,22,140600,5.9,Yes
EMP-1138,54,Male,Engineering,Bachelor,29,144900,2.7,No
EMP-1139,22,Female,Sales,Master,0,67100,10.0,No
EMP-1140,48,Male,Sales,Bachelor,23,117300,5.1,Yes
EMP-1141,34,Male,Marketing,Bachelor,8,62900,8.3,Yes
EMP-1142,24,Female,Sales,Master,0,59900,8.1,Yes
EMP-1143,27,Male,Marketing,Bachelor,5,61000,8.0,No
EMP-1144,29,Male,Sales,Bachelor,5,59100,8.0,No
EMP-1145,48,Male,Sales,Bachelor,25,122900,5.9,No
EMP-1146,30,Female,Marketing,Bachelor,8,66400,8.0,Yes
EMP-1147,58,Male,Sales,PhD,35,171500,6.2,Yes
EMP-1148,54,Female,Engineering,Bachelor,31,149600,4.9,Yes
EMP-1149,45,Female,Engineering,Master,21,132600,6.6,Yes
